stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,settlement,county
8220B1009001,100901,St Margaret's Road,,53.40019823,-6.308346659,,,,,Dublin city and suburbs,County_Dublin
8220B1011301,101131,North Road,,53.4001465,-6.307867468,,,,,Dublin city and suburbs,County_Dublin
8220B1011501,101151,Glasnevin,,53.36994293,-6.278061751,,,,,Dublin city and suburbs,County_Dublin
8220B1021101,102111,Batchelors Walk,,53.346833,-6.262471,,,,,Dublin city and suburbs,County_Dublin
8220B1046101,104611,Merrion Row,,53.33853319,-6.254804441,,,,,Dublin city and suburbs,County_Dublin
8220B106421,106421,3Arena,,53.346899,-6.229431,,,,,Dublin city and suburbs,County_Dublin
8220B10995,10995,Heuston Station,,53.34585754,-6.293887148,,,,,Dublin city and suburbs,County_Dublin
8220B111751,111751,Walnut Rise,,53.360193,-6.27261,,,,,Dublin city and suburbs,County_Dublin
8220B111761,111761,Westland Row Church,,53.342626,-6.250132,,,,,Dublin city and suburbs,County_Dublin
8220B111771,111771,Irish Life,,53.34911514,-6.255618916,,,,,Dublin city and suburbs,County_Dublin
8220B111781,111781,Holles Street,,53.34014505,-6.247650201,,,,,Dublin city and suburbs,County_Dublin
8220B123531,123531,North Wall Quay,,53.34790348,-6.247151735,,,,,Dublin city and suburbs,County_Dublin
8220B134961,134961,Dublin Busáras,,53.34991272,-6.25238682,,,,,Dublin city and suburbs,County_Dublin
8220B135001,135001,Dublin Busáras,,53.34957178,-6.251814943,,,,,Dublin city and suburbs,County_Dublin
8220B1350201,135021,DCU,,53.38688888,-6.256630573,,,,,Dublin city and suburbs,County_Dublin
8220B1350301,135031,Beresford Place,,53.34875493,-6.254957686,,,,,Dublin city and suburbs,County_Dublin
8220B1351001,135101,Wellington Quay,,53.34586418,-6.263817293,,,,,Dublin city and suburbs,County_Dublin
8220B1351101,135111,George's Quay,,53.34739228,-6.252129435,,,,,Dublin city and suburbs,County_Dublin
8220B1351201,135121,Connolly Station,,53.35021802,-6.250526702,,,,,Dublin city and suburbs,County_Dublin
8220B1351401,135141,George's Quay,,53.347377,-6.252222,,,,,Dublin city and suburbs,County_Dublin
8220B1352701,135271,Custom House Quay,,53.3483592,-6.253712111,,,,,Dublin city and suburbs,County_Dublin
8220B1353101,135311,Wilton Terrace,,53.333451,-6.249021,,,,,Dublin city and suburbs,County_Dublin
8220B1353301,135331,Dawson Street,,53.34013437,-6.258583611,,,,,Dublin city and suburbs,County_Dublin
8220B1353501,135351,Eden Quay,,53.34779997,-6.258496472,,,,,Dublin city and suburbs,County_Dublin
8220B1354001,135401,Heuston Station,,53.346033,-6.292647,,,,,Dublin city and suburbs,County_Dublin
8220B135411,135411,Wilton Terrace,,53.333421,-6.249085,,,,,Dublin city and suburbs,County_Dublin
8220B1354201,135421,Heuston Station,,53.346197,-6.292462,,,,,Dublin city and suburbs,County_Dublin
8220B136551,136551,Grand Parade,,53.33114508,-6.252358396,,,,,Dublin city and suburbs,County_Dublin
8220B211521,211521,Merrion Square West,,53.34091015,-6.250787646,,,,,Dublin city and suburbs,County_Dublin
8220B3551501,355151,Vincent's Hospital,,53.317358,-6.215982548,,,,,Dublin city and suburbs,County_Dublin
8220CO10995,,Heuston Station,,53.34585754,-6.293887148,,,,,Dublin city and suburbs,County_Dublin
8220CO10996,10996,Parkgate Street,,53.347888,-6.290712,,,,,Dublin city and suburbs,County_Dublin
8220DB000002,2,Parnell Square West,,53.35224436,-6.263723219,,,,,Dublin city and suburbs,County_Dublin
8220DB000003,3,Parnell Square West,,53.35230855,-6.263810742,,,,,Dublin city and suburbs,County_Dublin
8220DB000004,4,Parnell Square West,,53.35257451,-6.264175486,,,,,Dublin city and suburbs,County_Dublin
8220DB000006,6,Parnell Square West,,53.35274934,-6.264453804,,,,,Dublin city and suburbs,County_Dublin
8220DB000007,7,Parnell Square West,,53.35284091,-6.264570261,,,,,Dublin city and suburbs,County_Dublin
8220DB000008,8,Parnell Square West,,53.35327227,-6.265183677,,,,,Dublin city and suburbs,County_Dublin
8220DB000010,10,Parnell Square West,,53.3533921,-6.265389124,,,,,Dublin city and suburbs,County_Dublin
8220DB000011,11,St Joseph's Parade,,53.35681523,-6.264679195,,,,,Dublin city and suburbs,County_Dublin
8220DB000012,12,Upper Dorset Street,,53.35710752,-6.264381867,,,,,Dublin city and suburbs,County_Dublin
8220DB000014,14,Dorset Street Lower,,53.35853124,-6.262776506,,,,,Dublin city and suburbs,County_Dublin
8220DB000015,15,Innisfallen Parade,,53.36026671,-6.260978043,,,,,Dublin city and suburbs,County_Dublin
8220DB000016,16,Nephin Road Park,,53.36639156,-6.305614184,,,,,Dublin city and suburbs,County_Dublin
8220DB000017,17,Drumcondra Rail Station,,53.36307832,-6.258399288,,,,,Dublin city and suburbs,County_Dublin
8220DB000018,18,Dargle Road,,53.36585593,-6.255956821,,,,,Dublin city and suburbs,County_Dublin
8220DB000019,19,Botanic Avenue,,53.36723488,-6.255599941,,,,,Dublin city and suburbs,County_Dublin
8220DB000021,21,DCU St Patrick's,,53.3701012,-6.254310599,,,,,Dublin city and suburbs,County_Dublin
8220DB000022,22,Home Farm Road,,53.37350361,-6.252803753,,,,,Dublin city and suburbs,County_Dublin
8220DB000023,23,Ferguson Road,,53.37422828,-6.256261004,,,,,Dublin city and suburbs,County_Dublin
8220DB000024,24,Walsh Road,,53.37513316,-6.260372348,,,,,Dublin city and suburbs,County_Dublin
8220DB000025,25,Rathlin Road,,53.37589947,-6.263617736,,,,,Dublin city and suburbs,County_Dublin
8220DB000027,27,Ballymun Road,,53.37943896,-6.266585261,,,,,Dublin city and suburbs,County_Dublin
8220DB000028,28,Hampstead Avenue,,53.38157864,-6.266002271,,,,,Dublin city and suburbs,County_Dublin
8220DB000029,29,Albert College Park,,53.38348825,-6.265669101,,,,,Dublin city and suburbs,County_Dublin
8220DB000030,30,Ventry Park,,53.3703319,-6.304601169,,,,,Dublin city and suburbs,County_Dublin
8220DB000031,31,St Pappin's Road,,53.38603323,-6.268858077,,,,,Dublin city and suburbs,County_Dublin
8220DB000032,32,Stormanstown Road,,53.38619557,-6.271377201,,,,,Dublin city and suburbs,County_Dublin
8220DB000033,33,Glasnevin Drive,,53.38871792,-6.271771141,,,,,Dublin city and suburbs,County_Dublin
8220DB000035,35,Dean Swift Road,,53.38620679,-6.270910693,,,,,Dublin city and suburbs,County_Dublin
8220DB000036,36,Maolbuille Road,,53.38612685,-6.26787707,,,,,Dublin city and suburbs,County_Dublin
8220DB000037,37,DCU Ballymun Road,,53.3853464,-6.264886981,,,,,Dublin city and suburbs,County_Dublin
8220DB000038,38,Hampstead Avenue,,53.38223659,-6.265509521,,,,,Dublin city and suburbs,County_Dublin
8220DB000039,39,The Rise,,53.38041419,-6.265658759,,,,,Dublin city and suburbs,County_Dublin
8220DB000040,40,Stella Avenue,,53.37666077,-6.264668969,,,,,Dublin city and suburbs,County_Dublin
8220DB000041,41,Home Farm Road,,53.37555927,-6.261858006,,,,,Dublin city and suburbs,County_Dublin
8220DB000042,42,Corpus Christi NS,,53.37465027,-6.25746119,,,,,Dublin city and suburbs,County_Dublin
8220DB000043,43,Achill Road,,53.37386122,-6.25390131,,,,,Dublin city and suburbs,County_Dublin
8220DB000044,44,Skylon Hotel,,53.37301741,-6.252132303,,,,,Dublin city and suburbs,County_Dublin
8220DB000045,45,DCU St Patrick's,,53.36993643,-6.254106941,,,,,Dublin city and suburbs,County_Dublin
8220DB000046,46,Botanic Avenue,,53.36713102,-6.255258557,,,,,Dublin city and suburbs,County_Dublin
8220DB000047,47,Drumcondra Rail Station,,53.36391612,-6.257298257,,,,,Dublin city and suburbs,County_Dublin
8220DB000048,48,Fitzroy Avenue,,53.36225739,-6.258808412,,,,,Dublin city and suburbs,County_Dublin
8220DB000049,49,Dorset Street Lower,,53.36000424,-6.260853508,,,,,Dublin city and suburbs,County_Dublin
8220DB000051,51,Temple Street,,53.35781041,-6.263271572,,,,,Dublin city and suburbs,County_Dublin
8220DB000052,52,Dorset Street Upper,,53.35666078,-6.264565282,,,,,Dublin city and suburbs,County_Dublin
8220DB000053,53,North Circular Road,,53.36001449,-6.262791289,,,,,Dublin city and suburbs,County_Dublin
8220DB000054,54,Mater Hospital,,53.36022161,-6.265908034,,,,,Dublin city and suburbs,County_Dublin
8220DB000055,55,Mountjoy,,53.3604116,-6.26846958,,,,,Dublin city and suburbs,County_Dublin
8220DB000056,56,Dalymount,,53.36075972,-6.276373655,,,,,Dublin city and suburbs,County_Dublin
8220DB000057,57,Dalymount,,53.36081622,-6.276551675,,,,,Dublin city and suburbs,County_Dublin
8220DB000058,58,Churchview Home,,53.36094625,-6.281204202,,,,,Dublin city and suburbs,County_Dublin
8220DB000059,59,Annamoe Terrace,,53.36101801,-6.284942563,,,,,Dublin city and suburbs,County_Dublin
8220DB000060,60,Quarry Road,,53.36127922,-6.2893645,,,,,Dublin city and suburbs,County_Dublin
8220DB000063,63,Faussaugh Avenue,,53.36679244,-6.292750108,,,,,Dublin city and suburbs,County_Dublin
8220DB000064,64,Faussaugh Avenue Church,,53.36708858,-6.295232782,,,,,Dublin city and suburbs,County_Dublin
